time	V(v_cuad)	V(v_triag)
1.305237655200142e-05	3.029212e-01	2.457439e+00
1.315237655200142e-05	3.029316e-01	2.496222e+00
1.325237655200142e-05	3.029418e-01	2.534996e+00
1.335237655200142e-05	3.029523e-01	2.573786e+00
1.345237655200142e-05	3.029625e-01	2.612574e+00
1.355237655200142e-05	3.029730e-01	2.651359e+00
1.365237655200142e-05	3.029831e-01	2.690147e+00
1.375237655200142e-05	3.029937e-01	2.728935e+00
1.385237655200142e-05	3.030040e-01	2.767723e+00
1.395237655200143e-05	3.030149e-01	2.806514e+00
1.405237655200143e-05	3.030255e-01	2.845307e+00
1.415237655200143e-05	3.030373e-01	2.884107e+00
1.425237655200143e-05	3.030498e-01	2.922920e+00
1.435237655200143e-05	3.030650e-01	2.961757e+00
1.445237655200143e-05	3.030842e-01	3.000640e+00
1.455237655200143e-05	3.031125e-01	3.039608e+00
1.465237655200143e-05	3.031565e-01	3.078730e+00
1.475237655200143e-05	3.032313e-01	3.118100e+00
1.485237655200143e-05	3.033637e-01	3.157810e+00
1.495237655200143e-05	3.036314e-01	3.197786e+00
1.496487655200143e-05	3.036860e-01	3.202776e+00
1.498987655200143e-05	3.038266e-01	3.212706e+00
1.503987655200143e-05	3.046465e-01	3.232343e+00
1.504534530200143e-05	3.052374e-01	3.234468e+00
1.504690780200143e-05	3.064477e-01	3.235096e+00
1.504729842700143e-05	3.573367e-01	3.236170e+00
1.504739608325143e-05	7.510182e-01	3.240364e+00
1.504759139575143e-05	2.343827e+00	3.261414e+00
1.504798202075143e-05	4.628399e+00	3.316527e+00
1.504802711366427e-05	4.629335e+00	3.319809e+00
1.504811729948993e-05	4.630188e+00	3.324017e+00
1.504829767114127e-05	4.628356e+00	3.325004e+00
1.504865841444394e-05	4.621604e+00	3.321142e+00
1.504937990104928e-05	4.611604e+00	3.314512e+00
1.505082287425997e-05	4.605626e+00	3.310048e+00
1.505370882068135e-05	4.606868e+00	3.310461e+00
1.505750341416225e-05	4.608081e+00	3.310540e+00
1.506495362699044e-05	4.609740e+00	3.309860e+00
1.507612894394305e-05	4.611109e+00	3.307264e+00
1.509302274173706e-05	4.611378e+00	3.300750e+00
1.511718283329670e-05	4.610084e+00	3.287758e+00
1.514734448130404e-05	4.607448e+00	3.267679e+00
1.518474446849532e-05	4.604567e+00	3.241679e+00
1.523069638848077e-05	4.602623e+00	3.215401e+00
1.527573989250767e-05	4.602246e+00	3.196357e+00
1.532359293379341e-05	4.602331e+00	3.179228e+00
1.537705978331244e-05	4.602424e+00	3.160058e+00
1.544127740788896e-05	4.602287e+00	3.136321e+00
1.553179231806938e-05	4.602079e+00	3.102507e+00
1.563179231806938e-05	4.601858e+00	3.065470e+00
1.573179231806937e-05	4.601686e+00	3.028378e+00
1.583179231806937e-05	4.601461e+00	2.991322e+00
1.593179231806937e-05	4.601281e+00	2.954214e+00
1.603179231806937e-05	4.601066e+00	2.917186e+00
1.613179231806937e-05	4.600875e+00	2.880082e+00
1.623179231806937e-05	4.600663e+00	2.843058e+00
1.633179231806937e-05	4.600477e+00	2.805964e+00
1.643179231806937e-05	4.600256e+00	2.768948e+00
1.653179231806937e-05	4.600071e+00	2.731861e+00
1.663179231806937e-05	4.599848e+00	2.694850e+00
1.673179231806937e-05	4.599665e+00	2.657772e+00
1.683179231806936e-05	4.599447e+00	2.620769e+00
1.693179231806936e-05	4.599259e+00	2.583699e+00
1.703179231806936e-05	4.599041e+00	2.546704e+00
1.713179231806936e-05	4.598852e+00	2.509641e+00
1.723179231806936e-05	4.598638e+00	2.472654e+00
1.733179231806936e-05	4.598446e+00	2.435599e+00
1.743179231806936e-05	4.598228e+00	2.398618e+00
1.753179231806936e-05	4.598037e+00	2.361571e+00
1.763179231806936e-05	4.597820e+00	2.324596e+00
1.773179231806936e-05	4.597628e+00	2.287557e+00
1.783179231806935e-05	4.597410e+00	2.250589e+00
1.793179231806935e-05	4.597218e+00	2.213555e+00
1.803179231806935e-05	4.597000e+00	2.176589e+00
1.813179231806935e-05	4.596804e+00	2.139554e+00
1.823179231806935e-05	4.596584e+00	2.102579e+00
1.833179231806935e-05	4.596381e+00	2.065520e+00
1.843179231806935e-05	4.596155e+00	2.028491e+00
1.853179231806935e-05	4.595937e+00	1.991331e+00
1.863179231806935e-05	4.595680e+00	1.954115e+00
1.873179231806935e-05	4.595413e+00	1.916628e+00
