time	V(pwm)	V(v_triag)	V(vmed)	V(n003)
1.243060785384340e-05	4.730359e+00	2.216343e+00	2.491472e+00	1.951835e+00
1.243099847884339e-05	4.729878e+00	2.216494e+00	2.491472e+00	1.951820e+00
1.243101315592727e-05	4.729620e+00	2.216500e+00	2.491472e+00	1.951820e+00
1.243104251009503e-05	4.725716e+00	2.216511e+00	2.491472e+00	1.951818e+00
1.243110121843053e-05	4.282190e+00	2.216534e+00	2.491472e+00	1.951648e+00
1.243119863198695e-05	2.588436e+00	2.216570e+00	2.491466e+00	1.950092e+00
1.243121233473996e-05	2.224645e+00	2.216575e+00	2.491464e+00	1.949673e+00
1.243123974024598e-05	1.395918e+00	2.216584e+00	2.491460e+00	1.948700e+00
1.243124659162249e-05	1.148487e+00	2.216587e+00	2.491458e+00	1.948403e+00
1.243126029437550e-05	6.207286e-01	2.216591e+00	2.491456e+00	1.947766e+00
1.243126372006375e-05	4.780494e-01	2.216593e+00	2.491455e+00	1.947590e+00
1.243127057144026e-05	3.648150e-01	2.216595e+00	2.491453e+00	1.947235e+00
1.243128427419327e-05	3.273584e-01	2.216599e+00	2.491450e+00	1.946518e+00
1.243131167969930e-05	3.015375e-01	2.216608e+00	2.491441e+00	1.945102e+00
1.243136649071135e-05	2.974362e-01	2.216625e+00	2.491421e+00	1.942369e+00
1.243147611273545e-05	2.965724e-01	2.216660e+00	2.491369e+00	1.937312e+00
1.243169535678365e-05	2.956209e-01	2.216733e+00	2.491233e+00	1.928655e+00
1.243213384488006e-05	2.947554e-01	2.216892e+00	2.490913e+00	1.915889e+00
1.243286770108850e-05	2.944706e-01	2.217178e+00	2.490419e+00	1.903476e+00
1.243397221234091e-05	2.946879e-01	2.217617e+00	2.489952e+00	1.895637e+00
1.243569317105384e-05	2.948355e-01	2.218287e+00	2.489676e+00	1.892564e+00
1.243854110266550e-05	2.947086e-01	2.219375e+00	2.489555e+00	1.892317e+00
1.244315123462683e-05	2.945752e-01	2.221114e+00	2.489424e+00	1.892764e+00
1.245237149854950e-05	2.945063e-01	2.224528e+00	2.489208e+00	1.894071e+00
1.247081202639483e-05	2.945113e-01	2.231190e+00	2.489032e+00	1.898135e+00
1.249223378003253e-05	2.945543e-01	2.238851e+00	2.489165e+00	1.903745e+00
1.251876912145400e-05	2.946036e-01	2.248558e+00	2.489629e+00	1.910565e+00
1.254910155585092e-05	2.946448e-01	2.260160e+00	2.490263e+00	1.917296e+00
1.259170483285765e-05	2.946783e-01	2.277186e+00	2.490975e+00	1.924689e+00
1.265237655200142e-05	2.946985e-01	2.301786e+00	2.491465e+00	1.931610e+00
1.275237655200142e-05	2.947091e-01	2.341303e+00	2.491576e+00	1.936519e+00
1.285237655200142e-05	2.947094e-01	2.379889e+00	2.491534e+00	1.936415e+00
1.295237655200142e-05	2.947048e-01	2.418590e+00	2.491565e+00	1.934225e+00
1.305237655200142e-05	2.946969e-01	2.457439e+00	2.491593e+00	1.931373e+00
1.315237655200142e-05	2.946891e-01	2.496222e+00	2.491613e+00	1.928346e+00
1.325237655200142e-05	2.946807e-01	2.534996e+00	2.491635e+00	1.925236e+00
1.335237655200142e-05	2.946728e-01	2.573786e+00	2.491658e+00	1.922133e+00
1.345237655200142e-05	2.946642e-01	2.612574e+00	2.491681e+00	1.919029e+00
1.355237655200142e-05	2.946565e-01	2.651359e+00	2.491704e+00	1.915958e+00
1.365237655200142e-05	2.946481e-01	2.690147e+00	2.491727e+00	1.912894e+00
1.375237655200142e-05	2.946404e-01	2.728935e+00	2.491750e+00	1.909866e+00
1.385237655200142e-05	2.946321e-01	2.767723e+00	2.491775e+00	1.906849e+00
1.395237655200143e-05	2.946246e-01	2.806514e+00	2.491801e+00	1.903869e+00
1.405237655200143e-05	2.946164e-01	2.845307e+00	2.491832e+00	1.900906e+00
1.415237655200143e-05	2.946092e-01	2.884107e+00	2.491871e+00	1.897989e+00
1.425237655200143e-05	2.946012e-01	2.922920e+00	2.491927e+00	1.895108e+00
1.435237655200143e-05	2.945942e-01	2.961757e+00	2.492014e+00	1.892305e+00
